Loca,Model,Variable,Models,Scenario,other rcp45,LOCA,other rcp85
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,ACCESS1-0/16th/rcp45/r1i1p1/,tasmax,ACCESS1-0,rcp45,r1i1p1,1231.LOCA_2016-04-02.16th.nc,r1i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,ACCESS1-3/16th/rcp45/r1i1p1/,tasmin,ACCESS1-3,rcp85,r1i1p1,,r1i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,CCSM4/16th/rcp45/r6i1p1/,pr,CCSM4,,r6i1p1,,r6i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,CESM1-BGC/16th/rcp45/r1i1p1/,,CESM1-BGC,,r1i1p1,,r1i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,CESM1-CAM5/16th/rcp45/r1i1p1/,,CESM1-CAM5,,r1i1p1,,r1i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,CMCC-CM/16th/rcp45/r1i1p1/,,CMCC-CM,,r1i1p1,,r1i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,CMCC-CMS/16th/rcp45/r1i1p1/,,CMCC-CMS,,r1i1p1,,r1i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,CNRM-CM5/16th/rcp45/r1i1p1/,,CNRM-CM5,,r1i1p1,,r1i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,CSIRO-Mk3-6-0/16th/rcp45/r1i1p1/,,CSIRO-Mk3-6-0,,r1i1p1,,r1i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,CanESM2/16th/rcp45/r1i1p1/,,CanESM2,,r1i1p1,,r1i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,EC-EARTH/16th/rcp45/r8i1p1/,,EC-EARTH,,r8i1p1,,r2i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,FGOALS-g2/16th/rcp45/r1i1p1/,,FGOALS-g2,,r1i1p1,,r1i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,GFDL-CM3/16th/rcp45/r1i1p1/,,GFDL-CM3,,r1i1p1,,r1i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,GFDL-ESM2G/16th/rcp45/r1i1p1/,,GFDL-ESM2G,,r1i1p1,,r1i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,GFDL-ESM2M/16th/rcp45/r1i1p1/,,GFDL-ESM2M,,r1i1p1,,r1i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,GISS-E2-H/16th/rcp45/r6i1p3/,,GISS-E2-H,,r6i1p3,,r2i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,GISS-E2-R/16th/rcp45/r6i1p1/,,GISS-E2-R,,r6i1p1,,r2i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,HadGEM2-AO/16th/rcp45/r1i1p1/,,HadGEM2-AO,,r1i1p1,,r1i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,HadGEM2-CC/16th/rcp45/r1i1p1/,,HadGEM2-CC,,r1i1p1,,r1i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,HadGEM2-ES/16th/rcp45/r1i1p1/,,HadGEM2-ES,,r1i1p1,,r1i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,IPSL-CM5A-LR/16th/rcp45/r1i1p1/,,IPSL-CM5A-LR,,r1i1p1,,r1i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,IPSL-CM5A-MR/16th/rcp45/r1i1p1/,,IPSL-CM5A-MR,,r1i1p1,,r1i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,MIROC-ESM/16th/rcp45/r1i1p1/,,MIROC-ESM,,r1i1p1,,r1i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,MIROC-ESM-CHEM/16th/rcp45/r1i1p1/,,MIROC-ESM-CHEM,,r1i1p1,,r1i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,MIROC5/16th/rcp45/r1i1p1/,,MIROC5,,r1i1p1,,r1i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,MPI-ESM-LR/16th/rcp45/r1i1p1/,,MPI-ESM-LR,,r1i1p1,,r1i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,MPI-ESM-MR/16th/rcp45/r1i1p1/,,MPI-ESM-MR,,r1i1p1,,r1i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,MRI-CGCM3/16th/rcp45/r1i1p1/,,MRI-CGCM3,,r1i1p1,,r1i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,NorESM1-M/16th/rcp45/r1i1p1/,,NorESM1-M,,r1i1p1,,r1i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,bcc-csm1-1/16th/rcp45/r1i1p1/,,bcc-csm1-1,,r1i1p1,,r1i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,bcc-csm1-1-m/16th/rcp45/r1i1p1/,,bcc-csm1-1-m,,r1i1p1,,r1i1p1
/pub/dcp/archive/cmip5/loca/LOCA_2016-04-02/,inmcm4/16th/rcp45/r1i1p1/,,inmcm4,,r1i1p1,,r1i1p1
